4046,8
4047,10
4048,8
4049,10
4050,8
4051,8
4052,8
4053,8
4054,8
4055,10
4056,8
4057,10
4058,10
4059,8
4060,8
4061,8
4062,8
4063,10
4064,3
4065,8
4066,8
4067,10
4068,10
4069,10
4070,10
4071,10
4072,8
4073,8
4074,10
4075,8
4076,10
4077,8
4078,10
4079,8
4080,8
4081,8
4082,8
4083,10
4084,8
4085,10
4086,8
4087,8
4088,10
4089,8
4090,10
4091,8
4092,8
4093,10
4094,10
4095,8
4096,10
4097,8
4098,8
4099,8
4100,8
4101,10
4102,8
4103,8
4104,10
4105,10
4106,10
4107,10
4108,8
4109,3
4110,10
4111,8
4112,10
4113,8
4114,0
4115,8
4116,8
4117,8
4118,10
4119,8
4120,10
4121,8
4122,8
4123,8
4124,10
4125,8
4126,10
4127,8
4128,0
4129,10
4130,10
4131,8
4132,3
4133,10
4134,8
4135,8
4136,8
4137,8
4138,8
4139,8
4140,3
4141,8
4142,10
4143,10
4144,8
4145,3
4146,8
4147,8
4148,10
4149,10
4150,10
4151,3
4152,8
4153,8
4154,10
4155,8
4156,10
4157,8
4158,8
4159,3
4160,10
4161,10
4162,10
4163,10
4164,8
4165,8
4166,8
4167,10
4168,10
4169,8
4170,10
4171,8
4172,10
4173,10
4174,8
4175,3
4176,3
4177,10
4178,8
4179,8
4180,8
4181,10
4182,10
4183,10
4184,3
4185,8
4186,8
4187,10
4188,3
4189,8
4190,8
4191,3
4192,8
4193,0
4194,8
4195,8
4196,8
4197,10
4198,10
4199,8
4200,8
4201,8
4202,10
4203,8
4204,10
4205,8
4206,10
4207,10
4208,8
4209,10
4210,8
4211,10
4212,10
4213,10
4214,10
4215,8
4216,3
4217,8
4218,8
4219,10
4220,8
4221,0
4222,8
4223,8
4224,8
4225,10
4226,10
4227,8
4228,10
4229,8
4230,8
4231,10
4232,8
4233,10
4234,10
4235,8
4236,10
4237,10
4238,8
4239,10
4240,8
4241,10
4242,8
4243,10
4244,10
4245,8
4246,10
4247,8
4248,8
4249,10
4250,8
4251,10
4252,10
4253,3
4254,8
4255,10
4256,8
4257,8
4258,2
4259,8
4260,8
4261,10
4262,8
4263,8
4264,8
4265,8
4266,10
4267,10
4268,8
4269,8
4270,8
4271,8
4272,10
4273,8
4274,10
4275,10
4276,10
4277,8
4278,10
4279,10
4280,10
4281,10
4282,10
4283,8
4284,8
4285,8
4286,10
4287,8
4288,8
4289,8
4290,8
4291,8
4292,8
4293,8
4294,10
4295,8
4296,8
4297,8
4298,8
4299,8
4300,8
4301,10
4302,8
4303,2
4304,8
4305,8
4306,8
4307,10
4308,10
4309,10
4310,10
4311,8
4312,8
4313,10
4314,8
4315,8
4316,8
4317,10
4318,8
4319,10
4320,10
4321,8
4322,10
4323,8
4324,8
4325,8
4326,8
4327,8
4328,8
4329,8
4330,8
4331,10
4332,8
4333,8
4334,8
4335,8
4336,10
4337,8
4338,8
4339,2
4340,8
4341,8
4342,10
4343,3
4344,2
4345,8
4346,8
4347,3
4348,8
4349,10
4350,10
4351,8
4352,8
4353,8
4354,8
4355,3
4356,8
4357,8
4358,10
4359,10
4360,8
4361,8
4362,10
4363,10
4364,10
4365,8
4366,8
4367,10
4368,8
4369,10
4370,8
4371,8
4372,8
